Bus ID,Time ID,Location,Arrive,Depart,stop time,travel time,Special circumstance?
S6,2,Fret N,11:29:49,11:30:32,0:00:43,0:01:09,
S6,2,Klien,11:31:07,11:31:22,0:00:15,0:00:35,
S6,2,Stun W,11:31:48,11:36:00,0:04:12,0:00:26,
S6,2,Athletics W,11:37:18,11:37:18,0:00:00,0:01:18,
S6,2,EPIC N,11:38:00,11:38:28,0:00:28,0:00:42,
S6,2,Grigg,11:38:55,11:39:18,0:00:23,0:00:27,
S6,2,BATT,11:40:05,11:40:23,0:00:18,0:00:47,
S6,2,Portal W,11:41:09,11:41:23,0:00:14,0:00:46,
S6,2,CRI,11:42:12,11:44:18,0:02:06,0:00:49,
S6,2,Duke,11:45:35,11:45:49,0:00:14,0:01:17,
S6,2,EPIC S,11:47:54,11:48:16,0:00:22,0:02:05,*******
S6,2,Athletics E,11:49:05,11:49:05,0:00:00,0:00:49,
S6,2,Stun E,11:50:43,11:51:40,0:00:57,0:01:38,
S6,2,Aux,11:52:20,11:52:30,0:00:10,0:00:40,
S6,2,Stu Health,11:52:38,11:52:38,0:00:00,0:00:08,
S6,2,Martin,11:54:27,11:56:43,0:02:16,0:01:49,
S6,2,Lot 6,11:57:42,11:57:57,0:00:15,0:00:59,
S6,2,Lot 5A,11:58:45,11:59:01,0:00:16,0:00:48,
S6,2,East Deck,11:59:28,11:59:36,0:00:08,0:00:27,
S6,2,Fret N,12:00:52,12:01:27,0:00:35,0:01:16,
S6,2,Klien,12:02:09,12:02:30,0:00:21,0:00:42,
S6,2,Stun W,12:03:26,12:09:30,0:06:04,0:00:56,
S6,2,Athletics W,12:11:38,12:11:38,0:00:00,0:02:08,
S6,2,EPIC N,12:12:10,12:12:55,0:00:45,0:00:32,
S6,2,Grigg,12:13:28,12:14:02,0:00:34,0:00:33,
S6,2,BATT,12:14:51,12:15:15,0:00:24,0:00:49,
S6,2,Portal W,12:15:58,12:15:58,0:00:00,0:00:43,
S6,2,CRI,12:16:51,12:19:39,0:02:48,0:00:53,
S6,2,Duke,12:20:58,12:21:40,0:00:42,0:01:19,
S6,2,EPIC S,12:23:15,12:23:59,0:00:44,0:01:35,
S6,2,Athletics E,12:24:40,12:24:40,0:00:00,0:00:41,
S6,2,Stun E,12:26:10,12:27:05,0:00:55,0:01:30,
S6,2,Aux,12:27:49,,,0:00:44,
S6,,AVG,,,0:00:49,0:00:57,
,,,,,,,
S7,2,CRI,,11:29:22,,,
S7,2,Duke,11:30:45,11:31:01,0:00:16,0:01:23,
S7,2,EPIC S,11:32:24,11:34:16,0:01:52,0:01:23,
S7,2,Athletics E,11:35:19,11:35:19,0:00:00,0:01:03,
S7,2,Stun E,11:36:42,11:37:21,0:00:39,0:01:23,
S7,2,Aux,11:37:53,11:38:44,0:00:51,0:00:32,
S7,2,Stu Health,11:39:51,11:40:06,0:00:15,0:01:07,
S7,2,Martin,11:40:47,11:41:37,0:00:50,0:00:41,
S7,2,Lot 6,11:42:19,11:42:40,0:00:21,0:00:42,
S7,2,Lot 5A,11:43:43,11:43:52,0:00:09,0:01:03,
S7,2,East Deck,11:44:25,11:44:33,0:00:08,0:00:33,
S7,2,Fret N,11:45:41,11:46:28,0:00:47,0:01:08,
S7,2,Klien,11:46:52,11:47:07,0:00:15,0:00:24,
S7,2,Stun W,11:47:40,11:49:33,0:01:53,0:00:33,
S7,2,Athletics W,11:51:38,11:51:38,0:00:00,0:02:05,
S7,2,EPIC N,11:52:27,11:52:49,0:00:22,0:00:49,
S7,2,Grigg,11:53:17,11:53:31,0:00:14,0:00:28,
S7,2,BATT,11:54:19,11:54:26,0:00:07,0:00:48,
S7,2,Portal W,11:55:09,11:55:09,0:00:00,0:00:43,
S7,2,CRI,11:56:05,11:58:39,0:02:34,0:00:56,
S7,2,Duke,11:59:56,12:00:10,0:00:14,0:01:17,
S7,2,EPIC S,12:02:02,12:03:12,0:01:10,0:01:52,
S7,2,Athletics E,12:04:01,12:04:01,0:00:00,0:00:49,
S7,2,Stun E,12:05:39,12:11:43,0:06:04,0:01:38,
S7,2,Aux,12:13:00,12:13:50,0:00:50,0:01:17,
S7,2,Stu Health,12:14:44,12:15:07,0:00:23,0:00:54,
S7,2,Martin,12:16:16,12:16:44,0:00:28,0:01:09,
S7,2,Lot 6,12:17:41,12:18:08,0:00:27,0:00:57,
S7,2,Lot 5A,12:18:56,12:19:18,0:00:22,0:00:48,
S7,2,East Deck,12:19:39,12:19:53,0:00:14,0:00:21,
S7,2,Fret N,12:21:24,12:21:39,0:00:15,0:01:31,
S7,2,Klien,12:22:06,12:22:22,0:00:16,0:00:27,
S7,2,Stun W,12:22:55,12:25:22,0:02:27,0:00:33,
S7,2,Athletics W,12:27:00,12:27:00,0:00:00,0:01:38,
S7,2,EPIC N,12:27:35,,,0:00:35,
S7,,AVG,,,0:00:45,0:00:59,
,,,,,,,
S8,2,Athletics W,11:29:15,11:29:15,0:00:00,,
S8,2,EPIC N,11:29:48,11:30:12,0:00:24,0:00:33,
S8,2,Grigg,11:30:39,11:30:47,0:00:08,0:00:27,
S8,2,BATT,11:31:33,11:31:49,0:00:16,0:00:46,
S8,2,Portal W,11:32:38,11:32:59,0:00:21,0:00:49,
S8,2,CRI,11:33:54,11:38:29,0:04:35,0:00:55,
S8,2,Duke,11:39:31,11:39:59,0:00:28,0:01:02,
S8,2,EPIC S,11:41:16,11:42:12,0:00:56,0:01:17,
S8,2,Athletics E,11:43:00,11:43:00,0:00:00,0:00:48,
S8,2,Stun E,11:44:39,11:45:08,0:00:29,0:01:39,
S8,2,Aux,11:45:42,11:46:05,0:00:23,0:00:34,
S8,2,Stu Health,11:47:13,11:47:13,0:00:00,0:01:08,
S8,2,Martin,11:47:55,11:49:55,0:02:00,0:00:42,
S8,2,Lot 6,11:50:36,11:50:50,0:00:14,0:00:41,
S8,2,Lot 5A,11:51:53,11:52:15,0:00:22,0:01:03,
S8,2,East Deck,11:52:42,11:52:42,0:00:00,0:00:27,
S8,2,Fret N,11:54:20,11:54:55,0:00:35,0:01:38,
S8,2,Klien,11:55:37,11:56:19,0:00:42,0:00:42,
S8,2,Stun W,11:57:07,11:58:18,0:01:11,0:00:48,
S8,2,Athletics W,11:59:42,11:59:42,0:00:00,0:01:24,
S8,2,EPIC N,12:00:16,12:00:38,0:00:22,0:00:34,
S8,2,Grigg,12:01:13,12:01:41,0:00:28,0:00:35,
S8,2,BATT,12:02:15,12:02:37,0:00:22,0:00:34,
S8,2,Portal W,12:03:20,12:03:20,0:00:00,0:00:43,
S8,2,CRI,12:04:08,12:08:48,0:04:40,0:00:48,
S8,2,Duke,12:10:05,12:10:33,0:00:28,0:01:17,
S8,2,EPIC S,12:11:56,12:14:38,0:02:42,0:01:23,
S8,2,Athletics E,12:15:55,12:15:55,0:00:00,0:01:17,
S8,2,Stun E,12:18:14,12:19:11,0:00:57,0:02:19,
S8,2,Aux,12:19:46,12:20:28,0:00:42,0:00:35,
S8,2,Stu Health,12:21:37,12:22:05,0:00:28,0:01:09,
S8,2,Martin,12:23:44,12:24:40,0:00:56,0:01:39,
S8,2,Lot 6,12:25:22,12:25:59,0:00:37,0:00:42,
S8,2,Lot 5A,12:26:52,12:27:15,0:00:23,0:00:53,
S8,2,East Deck,12:27:42,12:27:52,0:00:10,0:00:27,
S8,,AVG,,,0:00:45,0:00:57,
,,,,,,,
S9,3,CRI,13:00:53,13:01:42,0:00:49,,
S9,3,Duke,13:03:05,13:05:19,0:02:14,0:01:23,
S9,3,EPIC S,13:06:35,13:06:49,0:00:14,0:01:16,
S9,3,Athletics E,13:07:31,13:07:31,0:00:00,0:00:42,
S9,3,Stun E,13:09:02,13:11:04,0:02:02,0:01:31,
S9,3,Aux,13:12:01,13:12:40,0:00:39,0:00:57,
S9,3,Stu Health,13:13:35,13:13:49,0:00:14,0:00:55,
S9,3,Martin,13:15:06,13:15:43,0:00:37,0:01:17,
S9,3,Lot 6,13:16:23,13:16:44,0:00:21,0:00:40,
S9,3,Lot 5A,13:17:23,13:17:40,0:00:17,0:00:39,
S9,3,East Deck,13:18:08,13:18:16,0:00:08,0:00:28,
S9,3,Fret N,13:19:39,13:19:55,0:00:16,0:01:23,
S9,3,Klien,13:20:21,13:20:50,0:00:29,0:00:26,
S9,3,Stun W,13:21:31,13:28:03,0:06:32,0:00:41,
S9,3,Athletics W,13:30:09,13:30:09,0:00:00,0:02:06,
S9,3,EPIC N,13:30:51,13:31:06,0:00:15,0:00:42,
S9,3,Grigg,13:31:33,13:31:33,0:00:00,0:00:27,
S9,3,BATT,13:32:15,13:32:30,0:00:15,0:00:42,
S9,3,Portal W,13:33:39,13:33:54,0:00:15,0:01:09,
S9,3,CRI,13:34:56,13:38:05,0:03:09,0:01:02,
S9,3,Duke,13:40:32,13:40:53,0:00:21,0:02:27,
S9,3,EPIC S,13:42:24,13:42:38,0:00:14,0:01:31,
S9,3,Athletics E,13:43:39,13:43:39,0:00:00,0:01:01,
S9,3,Stun E,13:45:04,13:45:47,0:00:43,0:01:25,
